3390, 22.055, 51.118, 0, 22.255, 50.319, 0
5076, 22.044, 51.090, 0, 22.282, 50.355, 0
6762, 22.049, 51.122, 0, 22.268, 50.336, 0
8447, 22.049, 51.181, 0, 22.242, 50.327, 0
10133, 22.057, 51.088, 0, 22.255, 50.306, 0
11819, 22.063, 51.124, 0, 22.258, 50.304, 0
13504, 22.041, 51.082, 0, 22.247, 50.302, 0
15190, 22.049, 51.149, 0, 22.268, 50.273, 0
16876, 22.049, 51.101, 0, 22.260, 50.264, 0
18561, 22.073, 51.145, 0, 22.258, 50.292, 0
20247, 22.092, 51.160, 0, 22.266, 50.304, 0
21933, 22.119, 51.141, 0, 22.236, 50.319, 0
23618, 22.156, 51.185, 0, 22.260, 50.327, 0
25304, 22.185, 51.174, 0, 22.266, 50.334, 0
26989, 22.236, 51.206, 0, 22.266, 50.327, 0
28675, 22.266, 51.202, 0, 22.266, 50.323, 0
30361, 22.343, 51.208, 0, 22.268, 50.292, 0
32046, 22.394, 51.158, 0, 22.260, 50.331, 0
33732, 22.479, 51.160, 0, 22.266, 50.321, 0
35418, 22.517, 51.176, 0, 22.266, 50.353, 0
37103, 22.607, 51.115, 0, 22.271, 50.340, 0
38789, 22.674, 51.088, 0, 22.282, 50.338, 0
40475, 22.752, 51.057, 0, 22.268, 50.327, 0
42160, 22.848, 51.015, 0, 22.263, 50.302, 0
43846, 22.906, 51.002, 0, 22.271, 50.315, 0
45531, 22.997, 50.975, 0, 22.300, 50.285, 0
47217, 23.083, 50.928, 0, 22.300, 50.247, 0
48903, 23.192, 50.909, 0, 22.300, 50.237, 0
50588, 23.272, 50.840, 0, 22.292, 50.214, 0
52274, 23.360, 50.834, 0, 22.322, 50.188, 0
53960, 23.443, 50.764, 0, 22.319, 50.191, 0
55645, 23.555, 50.725, 0, 22.322, 50.136, 0
57331, 23.657, 50.680, 0, 22.303, 50.130, 0
59017, 23.729, 50.634, 0, 22.319, 50.128, 0
60702, 23.865, 50.580, 0, 22.319, 50.073, 0
62388, 23.937, 50.561, 0, 22.319, 50.079, 0
64074, 24.041, 50.497, 0, 22.316, 50.060, 0
65759, 24.135, 50.455, 0, 22.324, 50.073, 0
67445, 24.204, 50.416, 0, 22.308, 50.023, 0
69130, 24.332, 50.409, 0, 22.314, 50.065, 0
70816, 24.418, 50.340, 0, 22.356, 50.075, 0
72502, 24.538, 50.306, 0, 22.330, 50.029, 0
74187, 24.631, 50.270, 0, 22.332, 49.993, 0
75873, 24.712, 50.189, 0, 22.332, 50.025, 0
77559, 24.829, 50.151, 0, 22.335, 50.018, 0
79244, 24.931, 50.132, 0, 22.348, 49.983, 0
80930, 25.011, 50.094, 0, 22.348, 49.983, 0
82616, 25.115, 50.046, 0, 22.359, 50.037, 0
84301, 25.206, 50.010, 0, 22.346, 50.044, 0
85987, 25.304, 49.951, 0, 22.332, 50.052, 0
87673, 25.409, 49.919, 0, 22.356, 50.027, 0
89358, 25.510, 49.875, 0, 22.364, 50.052, 0
91044, 25.601, 49.844, 0, 22.367, 50.060, 0
92729, 25.689, 49.827, 0, 22.356, 50.023, 0
94415, 25.788, 49.726, 0, 22.367, 50.048, 0
96101, 25.903, 49.703, 0, 22.356, 50.039, 0
97786, 25.985, 49.659, 0, 22.359, 50.052, 0
99472, 26.079, 49.613, 0, 22.362, 50.044, 0
101158, 26.175, 49.571, 0, 22.362, 50.052, 0
102843, 26.271, 49.541, 0, 22.372, 50.077, 0
104529, 26.362, 49.522, 0, 22.378, 50.117, 0
106215, 26.466, 49.474, 0, 22.378, 50.126, 0
107900, 26.549, 49.440, 0, 22.375, 50.153, 0
109586, 26.666, 49.388, 0, 22.386, 50.209, 0
111271, 26.762, 49.358, 0, 22.388, 50.159, 0
112957, 26.843, 49.297, 0, 22.402, 50.094, 0
114643, 26.923, 49.261, 0, 22.396, 50.128, 0
116328, 27.021, 49.169, 0, 22.423, 50.079, 0
118014, 27.102, 49.154, 0, 22.410, 50.081, 0
119700, 27.216, 49.154, 0, 22.407, 50.044, 0
121385, 27.315, 49.068, 0, 22.399, 50.062, 0
123071, 27.411, 49.032, 0, 22.375, 50.014, 0
124757, 27.497, 48.953, 0, 22.378, 50.104, 0
126442, 27.585, 48.959, 0, 22.394, 50.151, 0
128128, 27.641, 48.885, 0, 22.367, 50.153, 0
129814, 27.724, 48.841, 0, 22.372, 50.188, 0
131499, 27.849, 48.791, 0, 22.380, 50.264, 0
133185, 27.927, 48.730, 0, 22.372, 50.226, 0
134870, 28.007, 48.688, 0, 22.367, 50.201, 0
136556, 28.124, 48.662, 0, 22.394, 50.161, 0
138242, 28.210, 48.637, 0, 22.394, 50.245, 0
139927, 28.266, 48.557, 0, 22.378, 50.205, 0
141613, 28.365, 48.522, 0, 22.407, 50.228, 0
143299, 28.439, 48.465, 0, 22.396, 50.210, 0
144984, 28.541, 48.440, 0, 22.394, 50.163, 0
146670, 28.632, 48.368, 0, 22.380, 50.144, 0
148356, 28.712, 48.393, 0, 22.375, 50.104, 0
150041, 28.789, 48.274, 0, 22.402, 50.064, 0
151727, 28.901, 48.236, 0, 22.394, 50.043, 0
153412, 28.968, 48.232, 0, 22.386, 50.043, 0
155098, 29.067, 48.126, 0, 22.404, 50.054, 0
156784, 29.163, 48.112, 0, 22.396, 50.062, 0
158469, 29.216, 48.047, 0, 22.399, 50.008, 0
160155, 29.294, 47.998, 0, 22.383, 50.027, 0
161841, 29.355, 47.958, 0, 22.394, 49.989, 0
163526, 29.454, 47.922, 0, 22.383, 49.953, 0
165212, 29.548, 47.870, 0, 22.386, 49.949, 0
166898, 29.614, 47.836, 0, 22.410, 49.991, 0
168583, 29.710, 47.765, 0, 22.399, 50.043, 0
170269, 29.796, 47.758, 0, 22.410, 50.001, 0
171955, 29.871, 47.674, 0, 22.399, 49.987, 0
173640, 29.921, 47.643, 0, 22.399, 49.987, 0
175326, 30.026, 47.586, 0, 22.412, 49.966, 0
177011, 30.138, 47.500, 0, 22.380, 49.928, 0
178697, 30.218, 47.443, 0, 22.399, 49.936, 0
180383, 30.293, 47.342, 0, 22.380, 49.928, 0
182068, 30.357, 47.220, 0, 22.386, 49.976, 0
183754, 30.445, 47.155, 0, 22.386, 50.025, 0
185440, 30.541, 47.111, 0, 22.383, 50.136, 0
187125, 30.608, 47.021, 0, 22.375, 50.174, 0
188811, 30.690, 46.981, 0, 22.378, 50.210, 0
190497, 30.765, 46.914, 0, 22.386, 50.266, 0
192182, 30.835, 46.819, 0, 22.383, 50.271, 0
193868, 30.933, 46.775, 0, 22.378, 50.277, 0
195554, 30.995, 46.720, 0, 22.362, 50.315, 0
197239, 31.094, 46.663, 0, 22.383, 50.302, 0
198925, 31.150, 46.571, 0, 22.375, 50.319, 0
200610, 31.243, 46.518, 0, 22.367, 50.357, 0
202296, 31.307, 46.455, 0, 22.372, 50.319, 0
203982, 31.387, 46.403, 0, 22.356, 50.346, 0
